Right Shoulder Angle:	302	 Right Elbow Angle:	169	Base Rotation Angle:	105	Left Shoulder Elbow138
Right Shoulder Angle:	302	 Right Elbow Angle:	168	Base Rotation Angle:	104	Left Shoulder Elbow135
Right Shoulder Angle:	302	 Right Elbow Angle:	168	Base Rotation Angle:	102	Left Shoulder Elbow132
Right Shoulder Angle:	301	 Right Elbow Angle:	140	Base Rotation Angle:	104	Left Shoulder Elbow126
Right Shoulder Angle:	301	 Right Elbow Angle:	168	Base Rotation Angle:	104	Left Shoulder Elbow118
Right Shoulder Angle:	302	 Right Elbow Angle:	165	Base Rotation Angle:	103	Left Shoulder Elbow110
Right Shoulder Angle:	301	 Right Elbow Angle:	168	Base Rotation Angle:	109	Left Shoulder Elbow94
Right Shoulder Angle:	302	 Right Elbow Angle:	167	Base Rotation Angle:	106	Left Shoulder Elbow79
Right Shoulder Angle:	302	 Right Elbow Angle:	169	Base Rotation Angle:	108	Left Shoulder Elbow68
Right Shoulder Angle:	302	 Right Elbow Angle:	158	Base Rotation Angle:	115	Left Shoulder Elbow55
Right Shoulder Angle:	302	 Right Elbow Angle:	158	Base Rotation Angle:	122	Left Shoulder Elbow47
Right Shoulder Angle:	305	 Right Elbow Angle:	176	Base Rotation Angle:	122	Left Shoulder Elbow40
Right Shoulder Angle:	305	 Right Elbow Angle:	177	Base Rotation Angle:	123	Left Shoulder Elbow35
Right Shoulder Angle:	302	 Right Elbow Angle:	169	Base Rotation Angle:	129	Left Shoulder Elbow34
Right Shoulder Angle:	303	 Right Elbow Angle:	174	Base Rotation Angle:	139	Left Shoulder Elbow45
Right Shoulder Angle:	301	 Right Elbow Angle:	167	Base Rotation Angle:	129	Left Shoulder Elbow34
Right Shoulder Angle:	301	 Right Elbow Angle:	171	Base Rotation Angle:	127	Left Shoulder Elbow51
Right Shoulder Angle:	297	 Right Elbow Angle:	173	Base Rotation Angle:	130	Left Shoulder Elbow37
Right Shoulder Angle:	298	 Right Elbow Angle:	167	Base Rotation Angle:	132	Left Shoulder Elbow35
Right Shoulder Angle:	298	 Right Elbow Angle:	169	Base Rotation Angle:	126	Left Shoulder Elbow51
Right Shoulder Angle:	298	 Right Elbow Angle:	169	Base Rotation Angle:	130	Left Shoulder Elbow31
Right Shoulder Angle:	298	 Right Elbow Angle:	172	Base Rotation Angle:	127	Left Shoulder Elbow47
Right Shoulder Angle:	298	 Right Elbow Angle:	170	Base Rotation Angle:	127	Left Shoulder Elbow28
Right Shoulder Angle:	319	 Right Elbow Angle:	173	Base Rotation Angle:	141	Left Shoulder Elbow31
Right Shoulder Angle:	315	 Right Elbow Angle:	176	Base Rotation Angle:	141	Left Shoulder Elbow40
Right Shoulder Angle:	303	 Right Elbow Angle:	171	Base Rotation Angle:	137	Left Shoulder Elbow33
Right Shoulder Angle:	300	 Right Elbow Angle:	171	Base Rotation Angle:	142	Left Shoulder Elbow31
Right Shoulder Angle:	299	 Right Elbow Angle:	162	Base Rotation Angle:	145	Left Shoulder Elbow26
Right Shoulder Angle:	300	 Right Elbow Angle:	173	Base Rotation Angle:	149	Left Shoulder Elbow29
Right Shoulder Angle:	301	 Right Elbow Angle:	169	Base Rotation Angle:	155	Left Shoulder Elbow26
Right Shoulder Angle:	300	 Right Elbow Angle:	172	Base Rotation Angle:	155	Left Shoulder Elbow28
Right Shoulder Angle:	300	 Right Elbow Angle:	179	Base Rotation Angle:	155	Left Shoulder Elbow28
Right Shoulder Angle:	300	 Right Elbow Angle:	140	Base Rotation Angle:	154	Left Shoulder Elbow25
Right Shoulder Angle:	301	 Right Elbow Angle:	173	Base Rotation Angle:	155	Left Shoulder Elbow25
Right Shoulder Angle:	303	 Right Elbow Angle:	171	Base Rotation Angle:	156	Left Shoulder Elbow25
Right Shoulder Angle:	302	 Right Elbow Angle:	173	Base Rotation Angle:	156	Left Shoulder Elbow27
Right Shoulder Angle:	301	 Right Elbow Angle:	171	Base Rotation Angle:	156	Left Shoulder Elbow27
Right Shoulder Angle:	300	 Right Elbow Angle:	171	Base Rotation Angle:	156	Left Shoulder Elbow26
Right Shoulder Angle:	301	 Right Elbow Angle:	173	Base Rotation Angle:	156	Left Shoulder Elbow34
Right Shoulder Angle:	303	 Right Elbow Angle:	173	Base Rotation Angle:	154	Left Shoulder Elbow28
Right Shoulder Angle:	301	 Right Elbow Angle:	165	Base Rotation Angle:	152	Left Shoulder Elbow28
Right Shoulder Angle:	302	 Right Elbow Angle:	174	Base Rotation Angle:	150	Left Shoulder Elbow30
Right Shoulder Angle:	301	 Right Elbow Angle:	177	Base Rotation Angle:	147	Left Shoulder Elbow27
Right Shoulder Angle:	301	 Right Elbow Angle:	172	Base Rotation Angle:	149	Left Shoulder Elbow28
Right Shoulder Angle:	301	 Right Elbow Angle:	171	Base Rotation Angle:	148	Left Shoulder Elbow27
Right Shoulder Angle:	298	 Right Elbow Angle:	174	Base Rotation Angle:	146	Left Shoulder Elbow26
Right Shoulder Angle:	299	 Right Elbow Angle:	165	Base Rotation Angle:	146	Left Shoulder Elbow26
Right Shoulder Angle:	301	 Right Elbow Angle:	165	Base Rotation Angle:	146	Left Shoulder Elbow25
Right Shoulder Angle:	299	 Right Elbow Angle:	165	Base Rotation Angle:	147	Left Shoulder Elbow25
Right Shoulder Angle:	299	 Right Elbow Angle:	177	Base Rotation Angle:	149	Left Shoulder Elbow26
Right Shoulder Angle:	299	 Right Elbow Angle:	160	Base Rotation Angle:	152	Left Shoulder Elbow29
Right Shoulder Angle:	299	 Right Elbow Angle:	170	Base Rotation Angle:	158	Left Shoulder Elbow28
